family,total_nodes,total_edges,density,triadic_closure,most_connected,less_connected
adenoviridae,37,349,0.524024024024024,0.6262463814731425,33,4
retroviridae,6,21,1.4,1.0,7,7
papillomaviridae,10,43,0.9555555555555556,0.8360655737704918,11,5
rhabdo,13,79,1.0128205128205128,0.9013254786450663,14,7
paramyxoviridae,8,17,0.6071428571428571,0.5581395348837209,8,1
geminiviridae,24,134,0.4855072463768116,0.5458515283842795,18,4
tombusviridae,9,30,0.8333333333333334,0.7340425531914894,9,3
allenoviridae,5,14,1.4,0.875,6,5
luteoviridae,10,38,0.8444444444444444,0.6976744186046512,11,4
coronaviridae,11,59,1.0727272727272728,0.9434389140271493,12,8
